Prey/Predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
Miscellaneous filterfeeding pelagic fish,0.02519899,0,0,0,0.00366975,0,0,0.004137652,0,0,0,0,0.000100018,0,0.00050005,0.002849309,0,0.000300021,0.01050735,0.01029899,0.01049949,0.0102,0,0,0,0.00290087,0.000200014,0,0,0,0.000199994,0,0,0,0,0,0,0,0,0,0,0.02449755,0,0,0,0.00559944,0,0.05310213,0.02064335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid & cuttlefish,0.02519899,0.08619621,0,0,0.01219917,0.0219978,0.2031406,0.02603694,0.0005,0.00160016,0.0047,0.0079,0.004300775,0.002199842,0.02090209,0.007492628,0.01310134,0.002400166,0.006404483,0.002399765,0.001129945,0,0,0.03680368,0.00079992,0.07082125,0.01500104,0,0,0,0.01679948,0,0,0,0,0.003029079,0,0,0,0,0,0,0.04020402,0,0,0.000039996,0.02549745,0.005560223,0.05170859,0,0,0,0.0498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002104,0,0.02450245,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnivorous zooplankton,0.05039798,0,0,0.04730378,0.01969866,0.00529947,0,0.00121102,0.0082,0.00020002,0.0015,0.0034,0.0050009,0.000899935,0.10031,0.04527236,0.1003102,0.05790399,0.3341339,0.1241878,0,0.6051,0.2857143,0.0080008,0.10019,0,0.009600664,0.2732558,0.3092784,0,0.1697947,0.3984562,0.06310114,0,0,0,0.05160516,0,0,0,0,0,0,0,0.0153,0.6774322,0.00019998,0.148906,0.2119451,0,0.05090509,0,0.1989,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
Herbivorous & Omnivorous zooplankton (copepods),0,0,0,0.08790703,0,0,0,0,0,0,0,0,0.07071272,0,0.07030703,0,0.05020512,0,0.2304613,0.1034899,0,0.1311,0.4761905,0.01440144,0.2992701,0,0,0.6748338,0.6701031,0.8,0.1132965,0,0.610411,0,0.0125,0,0,0,0,0,0,0.00279972,0,0.0045,0,0.07649235,0.0910909,0.6949278,0.2805892,0.8,0.7222722,0,0.1989,0,0,0,0,0.09999999,0,0,0,0,0,0,0,0,0,0
Gelatinous zooplankton,0.100696,0,0,0,0.02659819,0.03569643,0,0,0,0,0,0,0,9.39932E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340034,0,0,0.07130713,0,0,0,0,0,0,0,0,0.00079992,0,0.03320133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large crabs,0,0,0,0,0.02779811,0.01329867,0,0.1141387,0.096,0.06150615,0.3623,0.05449999,0.2239403,0.09379325,0.020002,0.01414102,0.004100418,0.01970136,0,0,0.00020599,0,0,0.00830083,0.01629837,0,0.06150425,0,0,0,0,0,0,0.01590159,0.01,0.0424071,0.04890489,0,0,0,0,0.02769723,0.04910491,0.008,0.051,0,0.04949505,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nephrops,0,0,0,0,0.007339501,0.01019898,0,0.01877081,0,0,0,0.0015,0.01330239,0.0471966,0,0.00052765,0.00020002,0.04910339,0,0,0,0,0,0,0.06749325,0.005901771,0.000700048,0,0,0,0,0.03059664,0,0,0,0.01383279,0.1220122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epifaunal macrobenthos (mobile grazers),0,0,0,0,0.3304775,0.008899109,0.00730146,0.3027551,0.0657,0.04480448,0.1947,0.0183,0.07581365,0.06609524,0.10031,0.02131706,0.1130115,0.1965135,0.00020014,0.00019998,0.00102995,0.0483,0,0,0.09979001,0.008802641,0.009100628,0,0,0,0.00450986,0,0.000762014,0.1030103,0.2582,0.2096123,0.2240224,0.0128,0.04110411,0.2473,0.05970597,0.00279972,0.00180018,0.0925,0.7829,0.01269873,0.1338866,0.02660106,0,0,0,0,0,0.2867,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
Infaunal macrobenthos,0,0,0,0,0.05909598,0.00789921,0,0.181653,0.0032,0.00190019,0.0019,0.0006,0.06701206,0.02379829,0.08020803,0.03535255,0.2510256,0.1474102,0.007205043,0,0,0,0.1904762,0,0.169583,0,0.00260018,0,0,0,9.99969E-05,0.01279859,0.005620101,0.1714171,0.2397,0.2710016,0.07130713,0.1154,0.09930994,0.0349,0.04970497,0,0,0.1375,0.1131,0.02549745,0.06019398,0,0,0,0,0,0,0.2929,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0
